Partlist

Exported from melzi.sch at 26/07/2012 16:26
MS-X3                                SOLDERJUMPER_2WAYCONNECTED  SJ_3_CONNECTED        printrbot          1
Q1       16MHZ                       CSTCR6M00G53Z               CSTCR6M               murata-filter      1
R1       10k                         RESISTOR1206                1206                  SparkFun           1
R2       10k                         RESISTOR1206                1206                  SparkFun           1
R3       10k                         RESISTOR1206                1206                  SparkFun           1
R4       4k7                         RESISTOR1206                1206                  SparkFun           1
R5       4k7                         RESISTOR1206                1206                  SparkFun           1
R6       10k                         RTRIM-ST-4EA                RTRIM-ST4ETB          printrbot          1
R7       0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R8       10k                         RTRIM-ST-4EA                RTRIM-ST4ETB          printrbot          1
R9       10k                         RTRIM-ST-4EA                RTRIM-ST4ETB          printrbot          1
R10      10k                         RESISTOR1206                1206                  SparkFun           1
R11      10k                         RESISTOR1206                1206                  SparkFun           1
R12      10k                         RESISTOR1206                1206                  SparkFun           1
R13      0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R14      10k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R15      100k                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R16      4k7                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R17      20k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R18      0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R19      0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R20      10k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R21      100k                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R22      0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R23      0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R24      10k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R25      1K                          RESISTOR1206                1206                  SparkFun           1
R26      1K                          RESISTOR1206                1206                  SparkFun           1
R27      10k                         RTRIM-ST-4EA                RTRIM-ST4ETB          printrbot          1
R28      0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R29      0.11                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R30      10k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R31      100k                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R32      4k7                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R33      200R                        R-EU_0309/V                 0309V                 rcl                1
R34      4k7                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R35      20k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R36      100k                        RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R37      4k7                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R38      20k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
R39      20k                         RESISTOR_0805               RESC2012X70N          ipc-7351-resistor  1
U1       A4982                       A4982                       TSSOP-24              printrbot          1
U2       A4982                       A4982                       TSSOP-24              printrbot          1
U3       A4982                       A4982                       TSSOP-24              printrbot          1
U4       A4982                       A4982                       TSSOP-24              printrbot          1
X1       MICROSD                     MICROSD                     MICROSD               adafruit           1
X2       MINI-USB-SHIELD-UX60-MB-5ST MINI-USB-SHIELD-UX60-MB-5ST UX60-MB-5ST           con-hirose         1
